Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used,class_numberofchildren
b'1',b'3',b'1',b'0',b'2',b'4',b'0',b'1',b'0'
b'3',b'3',b'1',b'1',b'2',b'4',b'0',b'1',b'0'
b'3',b'2',b'1',b'1',b'2',b'2',b'0',b'1',b'0'
b'3',b'4',b'1',b'0',b'3',b'4',b'0',b'1',b'0'
b'2',b'2',b'1',b'1',b'2',b'2',b'1',b'1',b'0'
b'3',b'4',b'0',b'1',b'2',b'3',b'0',b'1',b'0'
b'4',b'4',b'0',b'0',b'3',b'4',b'0',b'1',b'0'
b'3',b'4',b'1',b'1',b'3',b'4',b'0',b'1',b'0'
b'3',b'2',b'1',b'1',b'3',b'4',b'0',b'1',b'0'
b'4',b'4',b'0',b'0',b'1',b'4',b'0',b'1',b'0'
b'2',b'3',b'1',b'1',b'3',b'4',b'0',b'1',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'1',b'0'
b'3',b'4',b'1',b'1',b'3',b'4',b'0',b'1',b'0'
b'3',b'4',b'1',b'1',b'2',b'2',b'0',b'1',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'1',b'0'
b'2',b'1',b'1',b'1',b'2',b'2',b'0',b'1',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'1',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'1',b'0'
b'4',b'4',b'1',b'0',b'3',b'4',b'0',b'1',b'0'
b'2',b'2',b'1',b'1',b'3',b'4',b'0',b'1',b'0'
b'3',b'3',b'1',b'1',b'2',b'3',b'0',b'1',b'0'
b'2',b'3',b'1',b'1',b'1',b'1',b'0',b'1',b'0'
b'3',b'4',b'1',b'1',b'1',b'4',b'0',b'1',b'0'
b'1',b'3',b'1',b'1',b'3',b'1',b'0',b'1',b'0'
b'4',b'4',b'1',b'1',b'1',b'2',b'0',b'1',b'0'
b'1',b'1',b'1',b'1',b'2',b'2',b'0',b'1',b'0'
b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0'
b'2',b'2',b'1',b'1',b'3',b'2',b'0',b'1',b'1'
b'1',b'3',b'1',b'1',b'2',b'2',b'1',b'1',b'0'
b'1',b'2',b'1',b'1',b'2',b'4',b'0',b'1',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'1',b'0'
b'1',b'1',b'1',b'1',b'3',b'2',b'0',b'1',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'1',b'0'
b'3',b'3',b'1',b'1',b'3',b'4',b'0',b'1',b'0'
b'1',b'2',b'1',b'0',b'2',b'2',b'1',b'1',b'0'
b'2',b'4',b'1',b'1',b'3',b'2',b'0',b'1',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'1',b'0'
b'4',b'4',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'2',b'0'
b'2',b'2',b'1',b'1',b'3',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'2',b'2',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'2',b'0'
b'2',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'3',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'2',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'2',b'1',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'2',b'3',b'0',b'2',b'0'
b'1',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'3',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'3',b'1',b'0',b'3',b'3',b'0',b'2',b'0'
b'3',b'1',b'1',b'0',b'3',b'3',b'0',b'2',b'0'
b'2',b'3',b'1',b'1',b'1',b'2',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'2',b'2',b'0',b'2',b'0'
b'3',b'4',b'0',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'4',b'0',b'1',b'2',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'1',b'3',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'3',b'1',b'1',b'1',b'1',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'3',b'3',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'3',b'3',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'2',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'2',b'3',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'0',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'2',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'2',b'4',b'0',b'1',b'3',b'2',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'2',b'0'
b'2',b'2',b'1',b'1',b'2',b'2',b'0',b'2',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'2',b'0'
b'1',b'2',b'1',b'0',b'3',b'1',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'3',b'2',b'0',b'2',b'0'
b'3',b'3',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'3',b'3',b'1',b'1',b'3',b'3',b'0',b'2',b'0'
b'2',b'3',b'1',b'1',b'3',b'1',b'1',b'2',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'3',b'3',b'1',b'0',b'3',b'2',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'3',b'2',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'2',b'3',b'0',b'2',b'0'
b'3',b'4',b'0',b'1',b'2',b'3',b'0',b'2',b'0'
b'2',b'1',b'1',b'0',b'2',b'2',b'0',b'2',b'0'
b'2',b'2',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'4',b'0',b'1',b'2',b'4',b'0',b'2',b'0'
b'3',b'4',b'0',b'1',b'3',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'3',b'4',b'0',b'2',b'0'
b'2',b'2',b'1',b'1',b'4',b'3',b'1',b'2',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'4',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'2',b'0'
b'3',b'1',b'1',b'0',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'3',b'3',b'0',b'2',b'0'
b'3',b'3',b'1',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'0',b'3',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'2',b'0'
b'3',b'3',b'0',b'1',b'1',b'3',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'2',b'0'
b'3',b'3',b'0',b'1',b'3',b'4',b'0',b'2',b'0'
b'2',b'4',b'0',b'1',b'2',b'3',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'0',b'3',b'2',b'0',b'2',b'0'
b'2',b'3',b'0',b'1',b'2',b'4',b'0',b'2',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'2',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'2',b'0'
b'1',b'2',b'1',b'1',b'3',b'4',b'0',b'2',b'0'
b'3',b'2',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'3',b'3',b'0',b'3',b'0'
b'3',b'3',b'0',b'1',b'3',b'2',b'0',b'3',b'0'
b'4',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'3',b'0'
b'2',b'2',b'1',b'0',b'2',b'2',b'1',b'3',b'0'
b'2',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'3',b'0'
b'2',b'2',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'1',b'2',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'1',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'0',b'1',b'4',b'0',b'3',b'0'
b'3',b'4',b'1',b'0',b'3',b'4',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'0',b'3',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'1',b'2',b'0',b'3',b'1'
b'4',b'4',b'0',b'1',b'2',b'3',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'2',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'2',b'3',b'0',b'3',b'0'
b'1',b'2',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'3',b'1',b'0',b'3',b'0'
b'3',b'2',b'1',b'1',b'3',b'1',b'1',b'3',b'0'
b'2',b'4',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'3',b'4',b'0',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'1',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'1',b'2',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'3',b'3',b'1',b'0',b'3',b'2',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'2',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'2',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'2',b'2',b'1',b'0',b'2',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'3',b'0'
b'3',b'3',b'1',b'0',b'2',b'3',b'0',b'3',b'0'
b'3',b'3',b'1',b'0',b'2',b'2',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'2',b'1',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'3',b'2',b'0',b'3',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'3',b'0'
b'1',b'2',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'1',b'2',b'1',b'1',b'3',b'1',b'1',b'3',b'0'
b'2',b'2',b'1',b'0',b'2',b'2',b'1',b'3',b'0'
b'3',b'4',b'1',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'1',b'4',b'0',b'3',b'0'
b'1',b'2',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'2',b'2',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'2',b'2',b'1',b'3',b'0'
b'3',b'3',b'1',b'1',b'2',b'2',b'0',b'3',b'0'
b'3',b'2',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'3',b'1',b'0',b'3',b'2',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'3',b'1',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'3',b'1',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'1',b'3',b'1',b'0',b'3',b'3',b'0',b'3',b'0'
b'1',b'1',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'2',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'3',b'1',b'0',b'2',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'4',b'3',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'2',b'2',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'1',b'4',b'1',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'2',b'3',b'0',b'1',b'3',b'2',b'1',b'3',b'0'
b'2',b'3',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'1',b'1',b'4',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'3',b'2',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'2',b'3',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'3',b'1',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'3',b'4',b'0',b'3',b'0'
b'4',b'3',b'1',b'0',b'3',b'4',b'0',b'3',b'0'
b'4',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'2',b'3',b'1',b'0',b'3',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'3',b'4',b'0',b'1',b'1',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'3',b'3',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'3',b'0'
b'2',b'2',b'0',b'1',b'4',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'1',b'3',b'4',b'0',b'3',b'0'
b'2',b'3',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'2',b'3',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'2',b'3',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'3',b'3',b'0',b'3',b'0'
b'2',b'4',b'1',b'0',b'2',b'3',b'0',b'3',b'0'
b'3',b'2',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'1',b'3',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'3',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'2',b'2',b'1',b'1',b'2',b'3',b'0',b'3',b'0'
b'2',b'2',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'2',b'2',b'1',b'1',b'2',b'2',b'1',b'3',b'0'
b'4',b'4',b'0',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'3',b'1',b'1',b'2',b'2',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'2',b'1',b'3',b'0'
b'4',b'4',b'0',b'1',b'2',b'4',b'0',b'3',b'0'
b'1',b'3',b'1',b'1',b'3',b'4',b'0',b'3',b'0'
b'2',b'2',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'1',b'3',b'0',b'3',b'0'
b'2',b'4',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'0',b'2',b'4',b'0',b'3',b'0'
b'4',b'4',b'1',b'1',b'1',b'4',b'0',b'3',b'0'
b'3',b'3',b'1',b'0',b'1',b'4',b'0',b'3',b'0'
b'3',b'3',b'1',b'0',b'2',b'2',b'0',b'3',b'0'
b'3',b'3',b'1',b'1',b'2',b'4',b'0',b'3',b'0'
