largest_spot_size,spot_distribution,Activity,Evolution,Previous_24_hour_flare_activity_code,Historically-complex,Did_region_become_historically_complex,Area,C-class_flares_production_by_this_region,M-class_flares_production_by_this_region,X-class_flares_production_by_this_region,class
b'A',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'C',b'2',b'2',b'3',b'2',b'2',b'2',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'1'
b'A',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'K',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'2',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'2',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'H',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'C',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'2',b'2',b'2',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'H',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'2',b'3',b'1',b'1',b'2',b'1',b'2',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'2',b'2',b'2',b'1',b'0',b'0',b'1'
b'A',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'H',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'2',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'A',b'O',b'2',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'2',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'I',b'2',b'3',b'1',b'2',b'2',b'2',b'1',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'1',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'H',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'1'
b'R',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'S',b'O',b'2',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'1',b'1',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'1'
b'K',b'C',b'2',b'2',b'2',b'2',b'2',b'2',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'1',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'4',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'C',b'2',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'1'
b'R',b'I',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'2',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'C',b'1',b'2',b'1',b'2',b'2',b'2',b'0',b'1',b'1',b'1'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'H',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'3',b'0',b'0',b'0'
b'K',b'I',b'2',b'2',b'1',b'2',b'2',b'2',b'1',b'0',b'0',b'1'
b'S',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'A',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'1',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'X',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'C',b'2',b'3',b'1',b'2',b'2',b'2',b'2',b'0',b'0',b'1'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'2',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'1'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'2',b'3',b'1',b'1',b'2',b'1',b'2',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'X',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'2',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'2',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'2',b'2',b'2',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'2',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'1',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'3',b'0',b'0',b'1'
b'X',b'O',b'2',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'I',b'2',b'3',b'1',b'2',b'2',b'1',b'2',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'I',b'2',b'1',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'K',b'C',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'1',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'1',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'1',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'3',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'I',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'2',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'A',b'X',b'1',b'3',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'2',b'2',b'3',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'3',b'0',b'0',b'0'
b'R',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'2',b'2',b'1',b'1',b'1',b'1',b'1',b'0',b'0',b'0'
b'H',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'I',b'2',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'1'
b'S',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'S',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'X',b'1',b'3',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'1',b'0',b'0'
b'S',b'O',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'2',b'1',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'2',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'R',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'I',b'2',b'3',b'2',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'2',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'1',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'1',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'1',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'2',b'1',b'2',b'2',b'1',b'3',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'X',b'1',b'3',b'1',b'1',b'1',b'1',b'0',b'0',b'0',b'0'
b'H',b'O',b'2',b'2',b'1',b'2',b'2',b'1',b'1',b'0',b'0',b'0'
b'R',b'O',b'1',b'1',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'H',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'2',b'1',b'2',b'2',b'1',b'0',b'0',b'0',b'0'
b'R',b'I',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'S',b'X',b'1',b'2',b'1',b'2',b'1',b'1',b'0',b'0',b'0',b'0'
b'A',b'O',b'1',b'2',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'X',b'O',b'1',b'3',b'1',b'1',b'2',b'1',b'0',b'0',b'0',b'0'
b'A',b'I',b'1',b'3',b'1',b'2',b'2',b'1',b'0',b'1',b'0',b'0'
